file_name,openssl_101f,gmssl,sim_value
ca.c_ca.c,make_revocation_str,make_revocation_str,0.9685826245887119
ecp_smpl.c_ecp_smpl.c,ec_GFp_simple_cmp,ec_GFp_simple_is_on_curve,0.968519222702952
bf_ofb64.c_bf_cfb64.c,BF_ofb64_encrypt,BF_cfb64_encrypt,0.9684815254055757
c_ofb64.c_c_cfb64.c,CAST_ofb64_encrypt,CAST_cfb64_encrypt,0.9684815254055756
ca.c_ca.c,unpack_revinfo,unpack_revinfo,0.9682000784164184
t_spki.c_t_spki.c,NETSCAPE_SPKI_print,NETSCAPE_SPKI_print,0.9681491982817605
c_cfb64.c_c_cfb64.c,CAST_cfb64_encrypt,CAST_cfb64_encrypt,0.9681398996208174
rsa_eay.c_rsa_ossl.c,RSA_eay_public_decrypt,rsa_ossl_public_decrypt,0.9678625891518913
ca.c_ca.c,do_updatedb,do_updatedb,0.9677359064403417
ectest.c_ectest.c,char2_field_tests,char2_field_tests,0.9676631925940782
apps.c_apps.c,load_index,load_index,0.9676317059857622
pk7_doit.c_pk7_doit.c,pkcs7_encode_rinfo,pkcs7_encode_rinfo,0.9674905126086809
bn_exp.c_bn_exp.c,BN_mod_exp_mont_word,BN_mod_exp_mont_word,0.9671525011227239
bn_prime.c_bn_prime.c,BN_is_prime_fasttest_ex,BN_is_prime_fasttest_ex,0.9668690326403362
v3_conf.c_v3_conf.c,do_ext_nconf,do_ext_nconf,0.9665565094417349
ccm128.c_ccm128.c,CRYPTO_ccm128_decrypt,CRYPTO_ccm128_encrypt,0.966331940156983
d1_pkt.c_ssl3_record.c,dtls1_get_record,dtls1_get_record,0.9661534975402346
asn1_par.c_asn1_par.c,asn1_parse2,asn1_parse2,0.9661169060136234
ccm128.c_ccm128.c,CRYPTO_ccm128_encrypt,CRYPTO_ccm128_decrypt,0.9660769079550727
v3_prn.c_v3_prn.c,X509V3_extensions_print,X509V3_extensions_print,0.9659020933178866
ctr128.c_ctr128.c,CRYPTO_ctr128_encrypt_ctr32,CRYPTO_ctr128_encrypt_ctr32,0.9658586639749174
pk7_lib.c_pk7_lib.c,PKCS7_SIGNER_INFO_set,PKCS7_SIGNER_INFO_set,0.965733449215834
conf_def.c_conf_def.c,def_load_bio,def_load_bio,0.9656650636616328
ecp_smpl.c_ecp_smpl.c,ec_GFp_simple_is_on_curve,ec_GFp_simple_cmp,0.9653235110116778
ts_rsp_sign.c_ts_rsp_sign.c,ESS_CERT_ID_new_init,ess_CERT_ID_new_init,0.9651068900373518
eng_cnf.c_eng_cnf.c,int_engine_configure,int_engine_configure,0.9650849446341876
i_cfb64.c_i_cfb64.c,idea_cfb64_encrypt,IDEA_cfb64_encrypt,0.9649999184919927
cms_env.c_cms_env.c,cms_RecipientInfo_ktri_decrypt,cms_RecipientInfo_ktri_encrypt,0.964969044881385
v3_purp.c_v3_purp.c,setup_dp,setup_dp,0.9645550268777703
gcm128.c_gcm128.c,CRYPTO_gcm128_aad,CRYPTO_gcm128_aad,0.9643442605377502
ecp_smpl.c_ec2_smpl.c,ec_GFp_simple_cmp,ec_GF2m_simple_is_on_curve,0.9642347545640682
conf_mod.c_conf_mod.c,module_init,module_init,0.9639937720084732
wp_dgst.c_wp_dgst.c,WHIRLPOOL_BitUpdate,WHIRLPOOL_BitUpdate,0.963793045680724
ecp_smpl.c_ec2_smpl.c,ec_GFp_simple_is_on_curve,ec_GF2m_simple_is_on_curve,0.9633511654516792
dh_key.c_dh_key.c,compute_key,compute_key,0.9632780684480198
req.c_req.c,set_keygen_ctx,set_keygen_ctx,0.962677164364229
bn_exp2.c_bn_exp2.c,BN_mod_exp2_mont,BN_mod_exp2_mont,0.9622995523891971
req.c_req.c,add_DN_object,add_DN_object,0.9622331364890212
obj_dat.c_obj_dat.c,OBJ_obj2txt,OBJ_obj2txt,0.9618525733860317
bn_exp.c_bn_exp.c,BN_mod_exp_mont,BN_mod_exp_mont,0.9612286931930103
ecp_smpl.c_ecp_smpl.c,ec_GFp_simple_points_make_affine,ec_GFp_simple_points_make_affine,0.9608392028450856
srp_vfy.c_srp_vfy.c,SRP_create_verifier,SRP_create_verifier,0.9604232490876029
bn_gf2m.c_bn_gf2m.c,BN_GF2m_mod_inv,BN_GF2m_mod_inv,0.9603324472592247
pem_info.c_pem_info.c,PEM_X509_INFO_write_bio,PEM_X509_INFO_write_bio,0.959958411173202
pem_pk8.c_pem_pk8.c,d2i_PKCS8PrivateKey_bio,d2i_PKCS8PrivateKey_bio,0.9599237978609143
ecdhtest.c_ecdhtest.c,test_ecdh_curve,test_ecdh_curve,0.9595249975568916
bio_cb.c_bio_cb.c,BIO_debug_callback,BIO_debug_callback,0.9591473640307417
x_name.c_x_name.c,x509_name_encode,x509_name_encode,0.9588514757121389
ts.c_ts.c,reply_command,reply_command,0.9584981278565707
ec2_oct.c_ec2_oct.c,ec_GF2m_simple_point2oct,ec_GF2m_simple_point2oct,0.958257753343233
gcm128.c_gcm128.c,CRYPTO_gcm128_setiv,CRYPTO_gcm128_setiv,0.9581706417648445
xts128.c_xts128.c,CRYPTO_xts128_encrypt,CRYPTO_xts128_encrypt,0.9578531818319632
pk7_doit.c_pk7_doit.c,PKCS7_dataInit,PKCS7_dataInit,0.9572689993968244
apps.c_apps.c,password_callback,password_callback,0.9572226539276405
ec2_smpl.c_ecp_smpl.c,ec_GF2m_simple_is_on_curve,ec_GFp_simple_is_on_curve,0.9571412625491417
evp_enc.c_evp_enc.c,EVP_CipherInit_ex,EVP_CipherInit_ex,0.9570087680581351
ofb_enc.c_ofb_enc.c,DES_ofb_encrypt,DES_ofb_encrypt,0.9569778375829934
ecp_oct.c_ecp_oct.c,ec_GFp_simple_point2oct,ec_GFp_simple_point2oct,0.9567209844620614
qud_cksm.c_qud_cksm.c,DES_quad_cksum,DES_quad_cksum,0.9565237981305423
ofb64enc.c_ofb64enc.c,DES_ofb64_encrypt,DES_ofb64_encrypt,0.9563620959935687
v3_cpols.c_v3_cpols.c,notice_section,notice_section,0.9563123890170144
ec2_oct.c_ecp_oct.c,ec_GF2m_simple_point2oct,ec_GFp_simple_point2oct,0.9561100271061277
ec_curve.c_ec_curve.c,ec_group_new_from_data,ec_group_new_from_data,0.9558524444600272
ts.c_ts.c,create_query,create_query,0.9556749037732166
bn_nist.c_bn_nist.c,BN_nist_mod_256,BN_nist_mod_384,0.9554379888166178
asn1_gen.c_asn1_gen.c,ASN1_generate_v3,generate_v3,0.9553012694900164
bio_ndef.c_bio_ndef.c,ndef_suffix,ndef_suffix,0.9550249190767974
des_enc.c_des_enc.c,DES_ede3_cbc_encrypt,DES_ede3_cbc_encrypt,0.9543323912897275
conf_def.c_conf_def.c,str_copy,str_copy,0.9542999699334491
ssltest.c_ssltest_old.c,doit,doit,0.9540069211235853
ecp_oct.c_ec2_oct.c,ec_GFp_simple_point2oct,ec_GF2m_simple_point2oct,0.9538307503159438
v3_alt.c_v3_alt.c,copy_email,copy_email,0.9538198559179247
cms_enc.c_cms_enc.c,cms_EncryptedContent_init_bio,cms_EncryptedContent_init_bio,0.9536504080287431
ecs_ossl.c_ecdsa_ossl.c,ecdsa_do_verify,ossl_ecdsa_verify_sig,0.9536070902425423
cfb_enc.c_cfb_enc.c,DES_cfb_encrypt,DES_cfb_encrypt,0.9533144761497798
x509_vfy.c_x509_vfy.c,X509_STORE_CTX_init,X509_STORE_CTX_init,0.9528527338466268
tasn_enc.c_tasn_enc.c,asn1_template_ex_i2d,asn1_template_ex_i2d,0.9525899139449716
ocsp_ext.c_ocsp_ext.c,OCSP_url_svcloc_new,OCSP_url_svcloc_new,0.952132100516051
req.c_req.c,make_REQ,make_REQ,0.9518078148638445
set_key.c_set_key.c,DES_set_key_unchecked,DES_set_key_unchecked,0.951522185952883
cms_env.c_cms_env.c,cms_RecipientInfo_ktri_decrypt,cms_RecipientInfo_ktri_decrypt,0.9512323311829254
by_file.c_by_file.c,X509_load_cert_crl_file,X509_load_cert_crl_file,0.951090929645103
tasn_utl.c_tasn_utl.c,asn1_do_adb,asn1_do_adb,0.950689226099817
e_aes_cbc_hmac_sha1.c_e_aes_cbc_hmac_sha1.c,aesni_cbc_hmac_sha1_cipher,aesni_cbc_hmac_sha1_cipher,0.9486476998291744
d1_pkt.c_d1_msg.c,dtls1_dispatch_alert,dtls1_dispatch_alert,0.9481232769898399
